"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"649","HD 183870B","293.03377305474","-11.33260208428","57.64","22.1133","-52.0104","-11.3265","M5","0.3","417600.0","3000.0","0.3"
"650","HD 183870","293.02793394657","-11.27494160911","57.66","22.1201","-52.0412","-11.2735","K2V","0.82","1141440.0","4000.0","0.7"
"651","WT 870","331.669557500518","-44.9687567828178","57.67","35.9141","-19.3624","-40.7566","M4.0","0.34","473280.0","3000.0","0.3"
"652","HD  21175","50.89689779001","-40.07637907303","57.67","27.8325","34.2441","-37.1284","K0V","0.9","1252800.0","4000.0","0.7"
"653","LP  846-7","142.265771","-24.484484","57.68","-41.5145","32.1257","-23.9053","M6","0.26","361920.0","3000.0","0.3"
"654","HD 152606","253.908394281823","-32.0677015062008","57.69","-13.5504","-46.9723","-30.6288","K8Vk","0.58","807360.0","4000.0","0.7"
"655","HD  30876","72.46804932055","-35.10763038913","57.69","14.2168","45.0024","-33.1783","K2V","0.82","1141440.0","4000.0","0.7"
"656","PM J10566-1552","164.162144268472","-15.8815335696658","57.72","-53.4093","15.1514","-15.795","M3","0.38","528960.0","3000.0","0.3"
"657","LP  740-44","220.44165943008","-14.45482109065","57.73","-42.5456","-36.2625","-14.4104","M5.5Ve","0.3","417600.0","3000.0","0.3"
"658","WISE J143311.42-083736.4","218.298540791667","-8.62613791666667","57.73","-44.7936","-35.374","-8.6587","T8.0","","","",""
"659","2MASS J23312378-4718274","352.849113","-47.307621","57.73","38.84","-4.8728","-42.4318","T5","","","",""
"660","L  415-82","269.30926574127","-41.9914348658692","57.73","-0.5173","-42.9044","-38.6225","M3V","0.38","528960.0","3000.0","0.3"
"661","LP  275-74","249.255969618812","35.5957852668767","57.75","-16.6326","-43.9148","33.6141","M5.5Ve","0.3","417600.0","3000.0","0.3"
"662","LSPM J0731+0249","112.87290090925","2.81901620972","57.79","-22.4351","53.1815","2.8422","M6","0.26","361920.0","3000.0","0.3"
"663","2MASS J18545092-5704417","283.712200836973","-57.0782567568589","57.8","7.4465","-30.5186","-48.5181","M7V","0.22","306240.0","3000.0","0.3"
"664","HD 204587","322.511483356075","-12.5100681017553","57.8","44.774","-34.342","-12.5201","K7Vk:","0.62","863040.0","4000.0","0.7"
"665","DENIS J075116.4-253043","117.818314645071","-25.5119574245419","57.81","-24.3477","46.1437","-24.8987","L1.5","","","",""
"666","BD+17  2785","221.597009818117","16.4966983897119","57.86","-41.4885","-36.8313","16.4299","K5V","0.7","974400.0","4000.0","0.7"
"667","HD 102438","176.815865615621","-30.2865111834669","57.87","-49.8944","2.7757","-29.1852","G6V","0.98","1364160.0","5500.0","1.0"
"668","SIPS J2151-4017","327.880768457462","-40.2897675218419","57.9","37.4054","-23.4819","-37.4412","M7.5V","0.22","306240.0","3000.0","0.3"
"669","CPD-35  4332","160.46101873919","-36.63076135099","57.92","-43.804","15.5454","-34.5583","M2+V","0.42","584640.0","3000.0","0.3"
"670","CD-35  6662","160.46597869928","-36.63337010664","57.92","-43.8039","15.541","-34.5604","M0Vk:","0.5","696000.0","3000.0","0.3"
"671","WISE J022623.98-021142.8","36.6008469583333","-2.19379452777778","57.93","46.4726","34.5147","-2.2175","T7","","","",""
"672","LP  264-45","170.67823271339","37.93010101028","57.94","-45.0973","7.4026","35.6157","M6V","0.26","361920.0","3000.0","0.3"
"673","*  15 Sge","301.025919868009","17.0701879323336","57.96","28.558","-47.4798","17.0138","G0V","1.1","1531200.0","5500.0","1.0"
"674","Wolf 1466","280.074328242816","-10.4653260006336","57.98","9.9735","-56.1364","-10.5315","dM2.0","","","",""
"675","*  39 Ser","238.30040490557","13.1966262335872","57.99","-29.6671","-48.0358","13.2387","G1VFe-1","1.08","1503360.0","5500.0","1.0"
