id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
799,LP  760-3,337.22645350592416,-13.422071552882777,35.51,31.852,-13.372,-8.244,M6.5V,1.253,1743850.0,2420.0,0.557,0.12917,255,155,62
800,PM J08531-2017,133.29547309929,-20.288178880779995,77.31,-49.729,52.779,-26.807,M3.0V,0.637,886385.0,2840.0,0.239,0.00669,255,171,98
801,V* EX Cet,24.39777825625,-6.760424979109999,78.47,70.968,32.189,-9.238,K0/1V,0.601,836312.0,4500.0,0.222,0.00519,255,217,187
802,G 192-15,90.62164298146668,49.86559876027056,31.07,-0.217,20.029,23.758,M5.0V,1.148,1597750.0,2600.0,0.5,0.08809,255,162,79
803,G 158-50,3.8671287410784307,-16.13378620354036,16.26,15.589,1.054,-4.52,M4V,0.662,921744.0,2720.0,0.251,0.00794,255,167,89
804,G 235-55,151.9972180694179,69.2460277615575,56.0,-17.52,9.317,52.363,M4V,0.866,1206106.0,2720.0,0.351,0.02574,255,167,89
805,BD+17  2785,221.5970098181175,16.496698389711945,57.86,-41.492,-36.834,16.431,K5V,0.709,987294.0,3900.0,0.274,0.01072,255,203,161
806,G  34-15,19.121664016536666,24.32410487204861,69.97,60.237,20.885,28.819,M4V,1.208,1682143.0,2720.0,0.533,0.11034,255,167,89
807,HD 184860B,294.18933884263544,-10.442179336499445,93.5,37.677,-83.877,-16.946,K7V,0.692,963712.0,3660.0,0.266,0.00965,255,196,149
808,* lam Ser,236.61089255068003,7.353068716340001,38.86,-21.212,-32.184,4.974,G0-V,1.7,2365876.0,5800.0,0.816,0.49067,255,242,231
809,HD 172555,281.3620874193479,-64.87125966888472,93.9,7.856,-39.093,-85.011,A7V,3.185,4434118.0,8160.0,1.789,7.66221,219,228,255
810,PM J14551+3006,223.79772421598997,30.11260906138,45.64,-28.494,-27.322,22.895,M3.8,1.501,2088959.0,2744.0,0.698,0.28462,255,168,90
811,MCC 188,283.86420911354,8.40250848509,36.28,8.6,-34.843,5.301,M3Ve,1.373,1911363.0,2840.0,0.625,0.19295,255,171,98
812,PM J00081+4757,2.0267687135000005,47.95065916364,60.82,40.713,1.441,45.166,M3.5+M3.5,0.591,822047.0,2780.0,0.218,0.00481,255,169,93
813,Ross  104,165.01773753095082,22.832956947207222,22.01,-19.594,5.244,8.54,M4V,1.293,1799890.0,2720.0,0.58,0.14835,255,167,89
814,G  15-2,225.33378234129086,5.548761513719444,49.02,-34.295,-34.697,4.739,M3.0V,1.3,1809185.0,2840.0,0.583,0.15173,255,171,98
815,* alf For B,48.0174961244575,-28.98694736457639,45.93,26.875,29.867,-22.259,G7V,0.806,1121433.0,4960.0,0.321,0.01872,255,227,204
816,PM J01484-7058,27.108151909402913,-70.97469185503778,69.25,20.094,10.286,-65.464,M3,0.993,1382473.0,2840.0,0.417,0.04677,255,171,98
817,* omi02 Eri C,63.83973332536918,-7.655748493915556,16.35,7.145,14.547,-2.179,M4.5V,1.076,1498208.0,2660.0,0.461,0.06648,255,165,84
818,HD 200968,316.7932548146383,-13.922924518820276,56.7,40.114,-37.678,-13.643,K1IV,1.304,1814680.0,4380.0,0.586,0.15375,255,214,182
819,G  70-43,17.981610839774582,4.918097198471667,50.43,47.793,15.512,4.324,M3.5V,1.256,1748841.0,2780.0,0.559,0.1308,255,169,93
820,G 109-35,104.87006874422794,19.348849408348055,25.29,-6.123,23.059,8.378,M5.0Ve,1.111,1546819.0,2600.0,0.48,0.07645,255,162,79
821,HD 221356,352.88126155758,-4.08740292888,84.25,83.392,-10.415,-6.006,F7V,2.038,2837390.0,6160.0,1.024,1.08666,255,248,241
